long,lat,incident_date,incident_time,location
-79.358662,43.67751,09/05/2016,1251,BROADVIEW AV / ERINDALE AV
-79.352634,43.665483,09/14/2016,2150,BROADVIEW AV / GERRARD ST E
-79.353027,43.668818,11/09/2016,935,BROADVIEW AV / RIVERDALE AV
-79.347328,43.678451,11/22/2015,1115,CARLAW AV / DANFORTH AV
-79.338963,43.65839,01/19/2015,1410,CARLAW AV / EASTERN AV
-79.340075,43.661057,09/01/2015,1340,CARLAW AV / QUEEN ST E
-79.379347,43.661872,11/09/2016,845,CARLTON ST / CHURCH ST
-79.376708,43.66242,08/27/2014,1444,CARLTON ST / JARVIS ST
-79.376708,43.66242,07/06/2016,1300,CARLTON ST / JARVIS ST
-79.37713,43.656496,05/06/2014,1023,CHURCH ST / DUNDAS ST E
-79.37713,43.656496,12/30/2014,1655,CHURCH ST / DUNDAS ST E
-79.378515,43.659862,07/14/2014,1350,CHURCH ST / GERRARD ST E
-79.378515,43.659862,08/16/2015,1656,CHURCH ST / GERRARD ST E
-79.378515,43.659862,09/20/2016,1005,CHURCH ST / GERRARD ST E
-79.380931,43.665706,11/04/2016,920,CHURCH ST / WELLESLEY ST E
-79.417209,43.663819,08/16/2014,2030,CLINTON ST / BLOOR ST W
-79.413859,43.655214,07/07/2016,1833,CLINTON ST / COLLEGE ST
-79.403171,43.657354,07/10/2014,829,COLLEGE ST / AUGUSTA AV
-79.403171,43.657354,10/29/2014,1750,COLLEGE ST / AUGUSTA AV
-79.385856,43.660836,08/02/2016,1730,COLLEGE ST / BAY ST
-79.413859,43.655214,06/25/2015,1400,COLLEGE ST / CLINTON ST
-79.413859,43.655214,07/22/2015,100,COLLEGE ST / CLINTON ST
-79.413859,43.655214,06/26/2016,925,COLLEGE ST / CLINTON ST
-79.413859,43.655214,07/07/2016,1815,COLLEGE ST / CLINTON ST
-79.413859,43.655214,09/09/2016,1440,COLLEGE ST / CLINTON ST
-79.405828,43.656834,08/05/2014,1325,COLLEGE ST / CROFT ST
-79.432546,43.652555,05/15/2014,2317,COLLEGE ST / DUFFERIN ST
-79.411386,43.655716,05/24/2014,15,COLLEGE ST / EUCLID AV
-79.411386,43.655716,04/29/2015,925,COLLEGE ST / EUCLID AV
-79.415548,43.654942,06/06/2014,2100,COLLEGE ST / GRACE ST
-79.415548,43.654942,06/27/2015,15,COLLEGE ST / GRACE ST
-79.406475,43.65671,06/18/2016,2050,COLLEGE ST / LIPPINCOTT ST
-79.412604,43.655466,11/29/2015,30,COLLEGE ST / MANNING AV
-79.408933,43.656217,10/07/2016,1230,COLLEGE ST / MARKHAM ST
-79.417877,43.655232,03/29/2015,2220,COLLEGE ST / MONTROSE AV
-79.42268,43.654388,08/04/2015,2200,COLLEGE ST / OSSINGTON AV
-79.42025,43.6549,07/03/2015,2025,COLLEGE ST / SHAW ST
-79.434544,43.652151,03/09/2016,1845,COLLEGE ST / SHERIDAN AV
-79.399915,43.657937,11/04/2015,2300,COLLEGE ST / SPADINA AV
-79.399915,43.657937,04/02/2016,1,COLLEGE ST / SPADINA AV
-79.399915,43.657937,05/08/2016,1030,COLLEGE ST / SPADINA AV
-79.399915,43.657937,11/17/2016,1720,COLLEGE ST / SPADINA AV
-79.390349,43.659884,06/16/2014,1005,COLLEGE ST / UNIVERSITY AV
-79.390349,43.659884,12/15/2015,855,COLLEGE ST / UNIVERSITY AV
-79.383088,43.661369,07/31/2014,1155,COLLEGE ST / YONGE ST
-79.389819,43.670544,02/29/2016,930,CUMBERLAND ST / BAY ST
-79.358829,43.676204,09/29/2016,1700,DANFORTH AV / BROADVIEW AV
-79.334849,43.680938,09/24/2015,815,DANFORTH AV / CAITHNESS AV
-79.351942,43.677549,05/20/2015,2007,DANFORTH AV / CHESTER AV
-79.351942,43.677549,08/23/2015,1000,DANFORTH AV / CHESTER AV
-79.351942,43.677549,09/11/2015,1530,DANFORTH AV / CHESTER AV
-79.323589,43.683356,07/19/2014,1314,DANFORTH AV / COXWELL AV
-79.323589,43.683356,07/17/2016,2230,DANFORTH AV / COXWELL AV
-79.348299,43.678259,05/31/2014,1930,DANFORTH AV / FERRIER AV
-79.352813,43.677381,12/04/2015,1850,DANFORTH AV / HAMPTON AV
