ID,ADDRESS_OR_INTERSECTION,POSTAL_CODE,GC_LONGITUDE,GC_LATITUDE
300933,3170 Eglinton Ave E,M1J 2H3,-79.22143164,43.74327021
300999,348 Wilson Ave,M3H 1S9,-79.4381131,43.73684851
301086,946 Lawrence Ave E,M3C 1R1,-79.34596187,43.73712403
301089,605 Rogers Rd,M6M 1B9,-79.47451335,43.68161883
301105,130 Industry St,M6M 5G3,-79.49507291,43.69467239
301110,491 Eglinton Ave W,M5N 1A8,-79.41285154,43.7034636
301161,1015 Lake Shore Blvd E,M4M 1B4,-79.3299163,43.65798288
301183,700 Lawrence Ave W,M6A 3B4,-79.44743415,43.71693493
301199,2200 Martin Grove Rd,M9V 5H9,-79.59916507,43.7516287
301202,145 Marlee Ave,M6B 3H3,-79.44103039,43.70326335
301283,29 Toronto St,L9P 1V9,-79.122659,44.107756
301294,2040 Victoria Park Ave,M1R 1V2,-79.31388219,43.75259662
301314,6023 Yonge St,M2M 3W2,-79.41754461,43.78928362
301330,10 Dundas St E,M5B 2G9,-79.38069137,43.65669295
301405,2111 Jane St,M3M 1A2,-79.5078029,43.71897714
301440,180 Danforth Ave.,M4K 1N1,-79.35701011,43.67689898
301566,347 Spadina Ave.,M5T 2G3,-79.3986705,43.65528165
301574,650 Sheppard Ave. E,M2K 3E4,-79.38143225,43.76858557
301621,825 Coxwell Ave,M4C 3E7,-79.324954,43.689832
301710,3630 Victoria Park Ave.,M2H 3B2,-79.33883491,43.80710843
301724,1263 Wilson Ave,M3M 3G3,-79.49158877,43.72427552
301774,3341 Markham Rd,M1X 0A5,-79.25044607,43.83564572
301830,10 Northtown Way,M2N 7L4,-79.41324087,43.77582619
301835,4G Spadina Ave,M5V 3Z9,-79.393614,43.64100349
301846,1265 Morningside Ave,M1B 3V9,-79.19944828,43.80255167
301877,333 Bay St,M5H 2R2,-79.38035554,43.65037603
301914,872 Sheppard Ave W,M3H 5V5,-79.45422735,43.75247822
301922,62 Overlea Blvd,M4H 1C4,-79.3434811,43.70779364
302027,260 Queen Street West,M5V 1Z8,-79.39188751,43.64989158
302055,1278 The Queensway,M8Z 1S3,-79.52658013,43.62135363
302078,3551 Sheppard Ave E,M1T 3K8,-79.29973865,43.78025438
302094,14 Isabella St,M4Y 1N1,-79.38507935,43.66791658
302118,15 York St,M5J 0A3,-79.38087131,43.64234783
302196,69 Queen St E,M5C 1R8,-79.37606864,43.65289437
302225,918 Kingston Rd,M4E 1S5,-79.28913041,43.68056066
302250,200 Front St. E,M5A 4T9,-79.36632346,43.65110089
302339,3352 Keele St,M3J 1L5,-79.48709092,43.74604608
302379,4113 Lawrence Ave. E,M1E 2S2,-79.1942677,43.76639104
302413,3366 Yonge St,M4N 2M7,-79.40449277,43.73232214
302428,720 Spadina Ave ,M5S 2T9,-79.40362059,43.6652906
302435,2284 Kingston Rd.,M1N 1T9,-79.25235217,43.70544747
302440,236 Bloor St. W,M5S 1T8,-79.39699212,43.6683761
302465,1288 Danforth Ave,M4J 1M6,-79.33024015,43.68218469
302472,1678 Dufferin St,M6H 3M1,-79.44319925,43.67759378
302500,1 Oak St,M5A 0A1,-79.36606947,43.66064053
302512,1705 St Clair Ave W,M6N 1J2,-79.45940558,43.67406223
302526,1262 Don Mills Rd,M3B 2W6,-79.34647152,43.74472178
302530,60 Carlton St,M5B 1J2,-79.380033,43.66206094
302531,585 Queen St W,M5V 2B7,-79.40159625,43.647554
302536,18 Lower Jarvis St,M5E 1N1,-79.37088216,43.6475037
302552,171 East Liberty St,M6K 3P6,-79.41779587,43.63832458
302603,6230 Finch Ave W,M9V 0A1,-79.58945422,43.74197669
302617,3857 Lake Shore Blvd W,M8W 0A2,-79.54506687,43.58999929
302650,491 Church St.,M4Y 2C6,-79.38049226,43.66519624
302660,3323 Bathurst St,M6A 2B7,-79.43093572,43.7253807
302676,2928 Danforth Ave,M4C 1M1,-79.2935332,43.69027902
302694,2428 Islington Ave,M9W 3X8,-79.55994053,43.72351819
302697,1871 Danforth Ave,M4C 1J3,-79.31727385,43.68449921
302704,295 College St,M5T 1S2,-79.40122993,43.65747672
302740,787 Lawrence Ave W ,M6A 1C2,-79.45393839,43.71382146
302750,3480 Lawrence Ave E,M1H 1A9,-79.22695131,43.75979712
302792,5818 Sheppard Ave. E.,M1B 4Z6,-79.23021648,43.79634338
302809,2202 Jane St,M3M 1A4,-79.51075502,43.7221628
302830,2438 Lake Shore Blvd.,M8V 1C4,-79.489269,43.61426
302836,1577 Danforth Ave,M4C 1H7,-79.32304618,43.68318064
302853,1033 Queen St W,M6J 0A6,-79.41943856,43.64375287
302870,5468 Dundas Street West,M9B 6E3,-79.54465127,43.63282449
302876,220 Yonge St,M5B 2H1,-79.38011298,43.65367797
302882,93 Laird Dr,M4G 3T7,-79.35950035,43.70660724
302883,5460 Yonge St,M2N 6K7,-79.41552807,43.77721381
302890,2558 Danforth Ave,M4C 1L3,-79.30177034,43.68847089
302929,1575 Lawrence Ave W,M6L 1C3,-79.48854409,43.70579313
302931,14 College Street,M5G 1K2,-79.3839409,43.66148765
302936,553 St Clair Ave W,M6C 1A3,-79.42083895,43.68237655
302937,2300 Finch Avenue West,M9M 2Y3,-79.54227276,43.75361963
302945,1000 Gerrard St E,M4M 3G6,-79.33929344,43.66941811
302947,565 Sherbourne St,M4X 1W7,-79.3754306,43.66996097
