ID,NAME,ADDRESS_OR_INTERSECTION,POSTAL_CODE,FORMER_MUNICIPALITY,GC_LONGITUDE,GC_LATITUDE,TYPE
139,Forest Hill Place,645 Castlefield Avenue,M5N 3A5,Toronto,-79.42523784,43.70625327,Retirement Home
140,Sts. Peter and Paul Residence,221 Milner Avenue,M1S 4P4,Toronto,-79.2401309,43.78834752,Retirement Home
141,Terraces of Baycrest,55 Ameer Avenue,M6A 2Z1,Toronto,-79.44083783,43.72874629,Retirement Home
142,The Dunfield Retirement Residence,77 Dunfield Avenue,M4S 2H3,Toronto,-79.39494483,43.70678056,Retirement Home
143,The Teddington,4 Teddington Park Avenue,M4N 2C3,Toronto,-79.40391308,43.73346633,Retirement Home
144,Atrium at Kew Beach,500 Kingston Road,M4L 1V3,Toronto,-79.30273739,43.67799467,Retirement Home
145,Beach Arms Retirement Residence,505 Kingston Road,M4L 1V5,Toronto,-79.30233885,43.67725589,Retirement Home
146,Bradgate Arms,54 Foxbar Road,M4V 2G6,Toronto,-79.40059159,43.6857479,Retirement Home
147,Chartwell Lansing Retirement Residence (Formerly Known as Lansing Retirement Residence),10 Senlac Road,M2N 6P8,Toronto,-79.42340898,43.75945563,Retirement Home
148,Hazelton Place Retirement Residence,111 Avenue Road,M5R 3J8,Toronto,-79.39548308,43.67320082,Retirement Home
149,Living Life on The Avenue Retirement Residence,1066 Avenue Road,M5N 0A3,Toronto,-79.41013591,43.70578143,Retirement Home
150,One Kenton Place,1-3 Kenton Road,M2R 2H6,Toronto,-79.443665,43.777946,Retirement Home
151,Rayoak Place,1340 York Mills Road,M3A 3R1,Toronto,-79.32017619,43.76312119,Retirement Home
152,Retirement Suites by the Lake,2121 Kingston Road,M1N 1T5,Toronto,-79.25411304,43.70066507,Retirement Home
153,The Annex,123 Spadina Road,M5R 2T1,Toronto,-79.4055045,43.67175042,Retirement Home
154,The Briton House,700 & 720 Mount Pleasant Road,M4S 2N4,Toronto,-79.383423,43.682064,Retirement Home
155,The Millwood,921 Millwood Road,M4G 1X2,Toronto,-79.36362227,43.70293199,Retirement Home
156,Senior Tamils Centre of Ontario,5200 Finch Ave E,M1S 4Z2,Scarborough,-79.256981,43.810407,Retirement Home
157,Pine Villa Place,1035 Eglinton Ave W,M6C 2C8,York,-79.432274,43.699295,Retirement Home
